Utterance_ID,Language,Learner_Audio,Error_Tokens_Count,Pronunciation_Accuracy (%),Mean_Mismatch_Intensity
sanskrit_shloka1,Sanskrit,20f05867-eaf1-4d9c-b703-704188acd4d6.weba,23,64.06,0.3671
sanskrit_shloka1,Sanskrit,3fc3f4e3-6d30-46e3-93ba-cb23db457f86.weba,12,81.25,0.1836
sanskrit_shloka1,Sanskrit,4c37be69-cd4d-4618-81aa-819c11e794bd.weba,7,89.06,0.1145
sanskrit_shloka1,Sanskrit,734c8c5e-533d-4047-ba38-bb38a9c7466a.weba,19,70.31,0.3108
sanskrit_shloka1,Sanskrit,7c257cbb-c882-43a4-a7e1-873feef89167.weba,8,87.5,0.1331
sanskrit_shloka1,Sanskrit,7fc37acb-cf8a-479e-b751-c0a160b37bb3.weba,17,73.44,0.2638
sanskrit_shloka1,Sanskrit,880c5e55-036d-42a8-ab40-ac84c6d4585f.weba,3,95.31,0.0607
sanskrit_shloka1,Sanskrit,98ec221d-0416-475e-8aa1-7d397a2a0b7e.weba,17,73.44,0.2677
sanskrit_shloka1,Sanskrit,a4495e5d-d338-4635-9e2c-8febca1ae163.weba,13,79.69,0.2168
sanskrit_shloka1,Sanskrit,bac60d55-e048-476a-a530-1ac60ed4279c.weba,16,75.0,0.2271
sanskrit_shloka1,Sanskrit,c9d997f6-b50d-4a91-a41a-14b82e8091be.weba,2,96.88,0.0352
sanskrit_shloka2,Sanskrit,00b59f5c-4876-4de2-b668-15d6b964ff3a.weba,9,85.94,0.1528
sanskrit_shloka2,Sanskrit,44c33acf-d7c5-4d12-8ecf-0b01eb861660.weba,17,73.44,0.2727
sanskrit_shloka2,Sanskrit,616fe5ee-e044-4397-bf63-7a40df88b959.weba,8,87.5,0.1316
sanskrit_shloka2,Sanskrit,62d5fdf5-dd1f-46df-890a-137bb90a904b.weba,5,92.19,0.0876
sanskrit_shloka2,Sanskrit,648fde69-2555-4943-89e7-6fe1126112d3.weba,0,100.0,0.0046
sanskrit_shloka2,Sanskrit,8ac54c03-340c-404e-bb91-28f634923e9e.weba,15,76.56,0.2289
sanskrit_shloka2,Sanskrit,a74f13ec-9506-4ad6-b9ec-580393a635e5.weba,9,85.94,0.1375
sanskrit_shloka2,Sanskrit,b30b7ad3-1aeb-4c17-8077-f67245036cce.weba,5,92.19,0.0958
sanskrit_shloka2,Sanskrit,be810bcb-90e7-4ed7-8baf-18c76dc9f79b.weba,11,82.81,0.177
sanskrit_shloka2,Sanskrit,d66c12e7-e9e2-4ad3-b29d-71e43de43ebc.weba,15,76.56,0.2182
sanskrit_shloka2,Sanskrit,ec9ea5af-e72a-4130-ae09-6072eaba1bef.weba,18,71.88,0.2722
sanskrit_shloka3,Sanskrit,015e20ad-08c0-4191-91b3-78418da6077e.weba,16,75.0,0.2642
sanskrit_shloka3,Sanskrit,1f24e4e0-da8a-4dff-8b0a-36fbc98a9cec.weba,11,82.81,0.1845
sanskrit_shloka3,Sanskrit,343bdf50-a63a-403e-8e7e-70b004241ceb.weba,10,84.38,0.1503
sanskrit_shloka3,Sanskrit,4b3b83b2-fdc7-4399-bcfa-d9a856882465.weba,12,81.25,0.1994
sanskrit_shloka3,Sanskrit,5971d8db-7d8b-4e4e-9f6a-cbe7f322c115.weba,5,92.19,0.0756
sanskrit_shloka3,Sanskrit,7ce1cd1a-c7a9-40f5-9b7e-9dfa8d5057b0.weba,12,81.25,0.1886
sanskrit_shloka3,Sanskrit,7d1497a9-84b5-4de8-a398-9d6fb678a9be.weba,15,76.56,0.2376
sanskrit_shloka3,Sanskrit,afc3d5b2-c952-4066-a695-cc214ac53cb8.weba,5,92.19,0.0891
sanskrit_shloka3,Sanskrit,bb0cde4e-6c6f-479a-b711-78fc67c75039.weba,19,70.31,0.2874
sanskrit_shloka3,Sanskrit,c0b98d7a-60e2-4481-8725-58a009406a09.weba,19,70.31,0.3102
sanskrit_shloka3,Sanskrit,f1627586-dd84-4d5d-8902-96a99e559763.weba,1,98.44,0.0188
sanskrit_shloka4,Sanskrit,084c91f2-510a-4c7b-aeb3-14ec74496886.weba,20,68.75,0.3156
